Instrumento;Acción;Cantidad;Precio;Tiempo;ID;E/X;Posición;ID de orden;Nombre;Comisión;Tarifa;Nombre de cuenta de pantalla;Conexión;
MNQ 12-25;Comprar;1;25713,75;09/12/2025 18:17:34;476d1bd7bd3c47309425a43a54c57962;Salida;-;89ee6f00f4e24a2885677212078d24af;Cerrar;0,61 $;1;Sim101;APEX;
MNQ 12-25;Comprar;1;25718,25;09/12/2025 18:16:08;b697be831b2d4ce59b2f08dc596e13b8;Salida;1 S;d81118ed994e444dbf69a9c71482e17f;Exit;0,61 $;1;Sim101;APEX;
MNQ 12-25;Vender;1;25718,25;09/12/2025 18:15:51;d1bd2455ccfd43bc8e825cc7c9122f90;Entrada;2 S;caa15fed9cc543619c322747562f745f;Entry;0,61 $;1;Sim101;APEX;
MNQ 12-25;Comprar;1;25723,00;09/12/2025 18:14:02;a4cf8b1ce44044e09a370e8c0621955f;Salida;1 S;c4bf604baa5d496da834b016721b0ff5;Exit;0,61 $;1;Sim101;APEX;
MNQ 12-25;Vender;1;25718,25;09/12/2025 18:13:11;5c370a1487e84b60b09946ea23122774;Entrada;2 S;e7e0c5b800cc4ef4b2f9913b08a99e69;Entry;0,61 $;1;Sim101;APEX;
MNQ 12-25;Vender;1;25719,25;09/12/2025 18:13:01;d7fff196871a403f85aa739db8a05244;Entrada;1 S;955e3be42a22456e896860a89dcb7527;Entry;0,61 $;1;Sim101;APEX;
MNQ 12-25;Vender;1;25725,25;09/12/2025 18:09:31;76b2e1695c234aed882836084c74229e;Salida;-;a8206d1346b94e669fb82cfe109a61b1;Target1;0,61 $;1;Sim101;APEX;
MNQ 12-25;Vender;1;25723,00;09/12/2025 18:08:42;30cf86492efe46e3810fc990b708a230;Salida;1 L;c52e391ef645444abaacd96e0e042c08;Exit;0,61 $;1;Sim101;APEX;
MNQ 12-25;Comprar;1;25722,00;09/12/2025 18:08:28;906732366f304aa7a6282b3c5f781281;Entrada;2 L;5b9bf4cdad8845d8a5371a76c3ce701d;Entry;0,61 $;1;Sim101;APEX;
MNQ 12-25;Vender;1;25718,25;09/12/2025 18:08:18;b513fd8fd7784d899b4ea2aea5758e81;Salida;1 L;e6042a03049e49248fc81660cd7751f2;Exit;0,61 $;1;Sim101;APEX;
MNQ 12-25;Comprar;1;25721,50;09/12/2025 18:08:07;132d456261134507b9228378682cd209;Entrada;2 L;c8801a86082b425d9c6f41e6e7587d23;Entry;0,61 $;1;Sim101;APEX;
MNQ 12-25;Comprar;1;25724,50;09/12/2025 18:07:50;a520c588f8a543b9b770a1b0f90703cd;Entrada;1 L;197e4e359d594ab19a586dcadbca6ed4;Entry;0,61 $;1;Sim101;APEX;
MNQ 12-25;Vender;1;25728,25;09/12/2025 18:07:01;ce30f4f20175493e9f869e5ffe50950b;Salida;-;b0bba75dfd404a16994ce6c17bf49606;Cerrar;0,61 $;1;Sim101;APEX;
MNQ 12-25;Comprar;1;25728,00;09/12/2025 18:06:48;d91364ae457d43a08c61b4e8a62c8107;Entrada;1 L;844d1bee922e4e00899ddba9dbc042b1;Entry;0,61 $;1;Sim101;APEX;
MNQ 12-25;Comprar;1;25611,00;09/12/2025 15:44:05;329064809535_1;Salida;-;329064809535;Target1;0,00 $;1;PAAPEX4193400000001;APEX;
MNQ 12-25;Vender;1;25642,75;09/12/2025 15:39:32;329064809526_1;Entrada;1 S;329064809526;Entry;0,00 $;1;PAAPEX4193400000001;APEX;
