Instrumento;Acción;Tipo;Cantidad;Limit;Stop;Estado;Completo;Precio promedio;Restante;Nombre;Estrategia;OCO;TIF;Nombre de cuenta de pantalla;ID;Tiempo;Cancelar;
MNQ 12-25;Comprar;Stop Market;1;0;25618,75;Completo;1;25618,75;0;Stop1;;ffc41e6291414a07b44eb7e1064f15ef;Día;PAAPEX4193400000001;329064809454;09/12/2025 15:34:09;;
MNQ 12-25;Vender;Mercado;1;0;0;Completo;1;25642,75;0;Entry;;;Día;PAAPEX4193400000001;329064809526;09/12/2025 15:39:32;;
MNQ 12-25;Comprar;Limit;1;25599,25;0;Cancelado;0;0;1;Target1;;452b0d0515ac4209a459d058c2fff2b7;Día;PAAPEX4193400000001;329064808547;09/12/2025 0:33:12;;
MNQ 12-25;Vender;Mercado;1;0;0;Completo;1;25691;0;Entry;;;Día;PAAPEX4193400000001;329064808578;09/12/2025 8:58:28;;
MNQ 12-25;Comprar;Limit;1;25481,25;0;Cancelado;0;0;1;Target1;;a174e8c664e44da298e78c9888887528;Día;PAAPEX4193400000001;329064809499;09/12/2025 15:36:54;;
MNQ 12-25;Vender;Mercado;2;0;0;Completo;2;25621,5;0;Entry;;;Día;PAAPEX4193400000001;329064809334;09/12/2025 15:30:25;;
MNQ 12-25;Comprar;Mercado;1;0;0;Completo;1;25578,75;0;Exit;;;Día;PAAPEX4193400000001;329064809472;09/12/2025 15:34:46;;
MNQ 12-25;Comprar;Limit;1;25547,25;0;Cancelado;0;0;1;Target1;;d44fa166200742a490f341f3a99f182d;Día;PAAPEX4193400000001;329064809469;09/12/2025 15:34:18;;
MNQ 12-25;Comprar;Limit;1;25611,00;0;Completo;1;25611;0;Target1;;6c24b1a895714531b20c89e70fa55783;Día;PAAPEX4193400000001;329064809535;09/12/2025 15:39:33;;
MNQ 12-25;Vender;Mercado;1;0;0;Completo;1;25642,75;0;Entry;;;Día;PAAPEX4193400000001;329064809274;09/12/2025 12:13:10;;
MNQ 12-25;Comprar;Stop Market;1;0;25667,75;Cancelado;0;0;1;Stop1;;b4b1597f29754e5db2948fab1d837071;Día;PAAPEX4193400000001;329064809280;09/12/2025 12:13:10;;
MNQ 12-25;Comprar;Limit;1;25675,75;0;Completo;1;25675,75;0;Exit;;;Día;PAAPEX4193400000001;329064808960;09/12/2025 9:57:36;;
MNQ 12-25;Comprar;Limit;2;25514,00;0;Cancelado;0;0;2;Target1;;c7022585387e40668a66773b4f284965;Día;PAAPEX4193400000001;329064809343;09/12/2025 15:30:26;;
MNQ 12-25;Comprar;Stop Market;1;0;25679,50;Cancelado;0;0;1;Stop1;;2452f9ee347940a68cc3ed0ff9259aa2;Día;PAAPEX4193400000001;329064808846;09/12/2025 9:53:38;;
MNQ 12-25;Vender;Mercado;1;0;0;Completo;1;25696;0;Entry;;;Día;PAAPEX4193400000001;329064808736;09/12/2025 9:45:27;;
